sales_agent_name,resale_transaction_date,sales_agent_reg_num,town,real_estate_company_name
HO CHAI HWA,2023-09-01,R000402F,BUKIT BATOK,LHG PROPERTIES PTE. LTD.
CHEW KENG TUAN BENEDICT,2023-09-01,P002289Z,SENGKANG,SG PROPERTY INTERNATIONAL
ALICIA LIM JIA HUI,2023-09-01,R000218F,PUNGGOL,PROPNEX REALTY PTE. LTD.
ALICIA LIM JIA HUI,2023-09-01,R000218F,PUNGGOL,PROPNEX REALTY PTE. LTD.
CHEW KENG TUAN BENEDICT,2023-09-01,P002289Z,SENGKANG,SG PROPERTY INTERNATIONAL
TAN KIM CHOO,2023-09-01,P000027F,TAMPINES,ASPECT REALTY
SOM WAI CHUN,2023-09-01,P001185E,BUKIT BATOK,GRACIOUS LIVING PROPERTIES
FONG YONG TEN,2023-09-01,R000709B,JURONG WEST,PROPNEX REALTY PTE. LTD.
RICHARD GOH YANG LEE,2023-09-01,R000859E,WOODLANDS,PROPNEX REALTY PTE. LTD.
SOH YONG KAI,2023-09-01,P001176F,BUKIT BATOK,YKS REALTY SERVICES
"SOH YEEU HAN, KELVIN",2023-09-01,R000622C,PUNGGOL,PROPNEX REALTY PTE. LTD.
LIM KIM SOON,2023-09-01,R000754H,WOODLANDS,ERA REALTY NETWORK PTE LTD
NICHOLAS FENG JIAYONG,2023-09-01,R000273H,PUNGGOL,PROPNEX REALTY PTE. LTD.
ALOYSIUS THOMAS TAN,2023-09-01,R000311J,PUNGGOL,PROPNEX REALTY PTE. LTD.
NG SWEE HSIN BOBBY ALEX,2023-09-01,R001059Z,JURONG WEST,HUTTONS ASIA PTE. LTD.
LIAU HSING LING,2023-09-01,R000313E,HOUGANG,HUTTONS ASIA PTE. LTD.
LEONARD BOEY CHUEN CHUNG,2023-09-01,R000172H,JURONG WEST,CROSS CONNECTIONS NETWORK PTE. LTD.
HO CHAI HWA,2023-09-01,R000402F,JURONG WEST,LHG PROPERTIES PTE. LTD.
GOH QIU JIN,2023-09-01,R000184F,HOUGANG,PROPNEX REALTY PTE. LTD.
TAY CAI CHANG,2023-09-01,R000567G,SEMBAWANG,OHMYHOME PTE. LTD.
TAN LI HENG,2023-09-01,R000274E,SEMBAWANG,PROPNEX REALTY PTE. LTD.
GOH TECK JIN,2023-09-01,R001009C,YISHUN,TEXAN PROPERTY PTE. LTD.
TAN LI HENG,2023-09-01,R000274E,SENGKANG,PROPNEX REALTY PTE. LTD.
ALOYSIUS THOMAS TAN,2023-09-01,R000311J,PUNGGOL,PROPNEX REALTY PTE. LTD.
TAN LI HENG,2023-09-01,R000274E,PUNGGOL,PROPNEX REALTY PTE. LTD.
SHUM WAI,2023-09-01,R000258A,BEDOK,PROPNEX REALTY PTE. LTD.
TIAH MIN FENG SEAN,2023-09-01,R000181D,JURONG WEST,PROPNEX REALTY PTE. LTD.
"SOH YEEU HAN, KELVIN",2023-09-01,R000622C,SENGKANG,PROPNEX REALTY PTE. LTD.
ONG GEOK LAN,2023-09-01,P001542G,PUNGGOL,FOUR SEASONS REALTY
SEE LYE KEONG,2023-09-01,R000923J,JURONG WEST,SINGAPORE ESTATE AGENCY PTE. LTD.
NICHOLAS FENG JIAYONG,2023-09-01,R000273H,PUNGGOL,PROPNEX REALTY PTE. LTD.
"TAN YEN LING, ANGELINE",2023-09-01,R000910I,HOUGANG,ERA REALTY NETWORK PTE LTD
GOH QIU JIN,2023-09-01,R000184F,SEMBAWANG,PROPNEX REALTY PTE. LTD.
MOHAMMAD REEZA ABNASS BIN KHALIL,2023-09-01,R000272J,ANG MO KIO,ERA REALTY NETWORK PTE LTD
LIN SHOUMEI,2023-09-01,R000277E,BUKIT BATOK,ERA REALTY NETWORK PTE LTD
CHAN JIAN HONG,2023-09-01,R001226F,ANG MO KIO,SRI PTE. LTD.
ONG SEE CHEE,2023-09-01,P003473A,TAMPINES,FRANCIS TAN REALTY
HAYATI BINTE JANTAN,2023-09-01,P001193F,WOODLANDS,ISLANDGATE REAL ESTATE
CHEW KENG TUAN BENEDICT,2023-09-01,P002289Z,JURONG WEST,SG PROPERTY INTERNATIONAL
TAY YUNG CHI,2023-09-01,R000220D,TOA PAYOH,ERA REALTY NETWORK PTE LTD
SARAVANNAN S/O SANTH KUMARAN,2023-09-01,R000215D,SENGKANG,OHMYHOME PTE. LTD.
LIM LAY SEE,2023-09-01,P000832C,KALLANG/WHAMPOA,PROPERTY VISION & MANAGEMENT PTE. LTD.
NORSHEELAH BINTE MOHAMED AHMED,2023-09-01,R000255D,BEDOK,SRI PTE. LTD.
AINON BINTE ABDUL AZIZ TALIB,2023-09-01,R000174Z,WOODLANDS,ERA REALTY NETWORK PTE LTD
"YEW RUI CHANG, BENSON",2023-09-01,R000901Z,SENGKANG,PROPNEX REALTY PTE. LTD.
AINON BINTE ABDUL AZIZ TALIB,2023-09-01,R000174Z,BUKIT PANJANG,ERA REALTY NETWORK PTE LTD
LIM MING HER,2023-09-01,P008544A,YISHUN,RELIC PROPERTY CONSULTANTS
LEONG KOK YING,2023-09-01,P000020I,BUKIT MERAH,LEOHAM PROPERTIES
THAM YEW PARNG,2023-09-01,R001203G,BEDOK,KPC PROPERTIES PTE LTD
TAN JUN DE,2023-09-01,R000168B,YISHUN,HUTTONS ASIA PTE. LTD.
KAREN SOH AI NEE,2023-09-01,R000184A,CHOA CHU KANG,PROPNEX REALTY PTE. LTD.
LIM WEI CHING,2023-09-01,R000224C,PUNGGOL,HUTTONS ASIA PTE. LTD.
LIEW HUNG YEE,2023-09-01,R000054C,SERANGOON,CS 2000 HOUSING PTE LTD
TOK GEOK CHOO,2023-09-01,P001159F,ANG MO KIO,S T ESTATE AGENCY
TAY CAI CHANG,2023-09-01,R000567G,QUEENSTOWN,OHMYHOME PTE. LTD.
ALICIA LIM JIA HUI,2023-09-01,R000218F,SENGKANG,PROPNEX REALTY PTE. LTD.
HUANG HUANBIN,2023-09-01,R000395Z,WOODLANDS,PROPNEX REALTY PTE. LTD.
SARAVANNAN S/O SANTH KUMARAN,2023-09-01,R000215D,SENGKANG,OHMYHOME PTE. LTD.
SIM CHIN JOO,2023-09-01,R000627D,TAMPINES,JIREH PROPERTIES PTE. LTD.
"HO KHIM WENG, GIBSON",2023-09-01,R000240F,WOODLANDS,ORANGETEE & TIE PTE. LTD.
SEE LYE KEONG,2023-09-01,R000923J,SENGKANG,SINGAPORE ESTATE AGENCY PTE. LTD.
"WEE SIEW LING, SERYN",2023-09-01,R000183I,TAMPINES,PROPNEX REALTY PTE. LTD.
HO CHAI HWA,2023-09-01,R000402F,BUKIT BATOK,LHG PROPERTIES PTE. LTD.
TAN CHIN TIONG,2023-10-01,R000906J,ANG MO KIO,PROPNEX REALTY PTE. LTD.
HO CHAI HWA,2023-10-01,R000402F,JURONG EAST,LHG PROPERTIES PTE. LTD.
HAYATI BINTE JANTAN,2023-10-01,P001193F,WOODLANDS,ISLANDGATE REAL ESTATE
"HO KHIM WENG, GIBSON",2023-10-01,R000240F,BISHAN,ORANGETEE & TIE PTE. LTD.
CHEW KENG TUAN BENEDICT,2023-10-01,P002289Z,JURONG WEST,SG PROPERTY INTERNATIONAL
TAN CHIN TIONG,2023-10-01,R000906J,SENGKANG,PROPNEX REALTY PTE. LTD.
TAN CHIN TIONG,2023-10-01,R000906J,ANG MO KIO,PROPNEX REALTY PTE. LTD.
HO CHAI HWA,2023-10-01,R000402F,BUKIT BATOK,LHG PROPERTIES PTE. LTD.
"LIM JINGYUAN, THOMAS",2023-10-01,R000860I,WOODLANDS,PROPNEX REALTY PTE. LTD.
VICTOR HO GIN HOCK,2023-10-01,R001342D,PASIR RIS,ORANGETEE & TIE PTE. LTD.
CHUA THIAM SIEW,2023-10-01,P000113B,WOODLANDS,STAR REALTY NETWORK
TAN CHIN TIONG,2023-10-01,R000906J,GEYLANG,PROPNEX REALTY PTE. LTD.
CHUA THIAM SIEW,2023-10-01,P000113B,WOODLANDS,STAR REALTY NETWORK
AINON BINTE ABDUL AZIZ TALIB,2023-10-01,R000174Z,BUKIT MERAH,ERA REALTY NETWORK PTE LTD
HO CHAI HWA,2023-10-01,R000402F,YISHUN,LHG PROPERTIES PTE. LTD.
HAYATI BINTE JANTAN,2023-10-01,P001193F,WOODLANDS,ISLANDGATE REAL ESTATE
CHEN JIN BERTRAM DANIEL,2023-10-01,R000252H,TOA PAYOH,ERA REALTY NETWORK PTE LTD
NUR NIKMAT BIN JAWINI,2023-10-01,R000282G,PASIR RIS,ERA REALTY NETWORK PTE LTD
CHUA SOK KIANG,2023-10-01,R000183C,SENGKANG,CROSS CONNECTIONS NETWORK PTE. LTD.
AINON BINTE ABDUL AZIZ TALIB,2023-10-01,R000174Z,SENGKANG,ERA REALTY NETWORK PTE LTD
ALICIA LIM JIA HUI,2023-10-01,R000218F,SENGKANG,PROPNEX REALTY PTE. LTD.
LEE SHI XIAN,2023-10-01,R000172E,ANG MO KIO,HUTTONS ASIA PTE. LTD.
NUR NIKMAT BIN JAWINI,2023-10-01,R000282G,PUNGGOL,ERA REALTY NETWORK PTE LTD
SARAVANNAN S/O SANTH KUMARAN,2023-10-01,R000215D,KALLANG/WHAMPOA,OHMYHOME PTE. LTD.
SEE LYE KEONG,2023-10-01,R000923J,BISHAN,SINGAPORE ESTATE AGENCY PTE. LTD.
NEO TANG HOON,2023-10-01,R001087E,PUNGGOL,LITE REALTY PTE LTD
HO CHAI HWA,2023-10-01,R000402F,SENGKANG,LHG PROPERTIES PTE. LTD.
"HO KHIM WENG, GIBSON",2023-10-01,R000240F,BEDOK,ORANGETEE & TIE PTE. LTD.
LIAU HSING LING,2023-10-01,R000313E,ANG MO KIO,HUTTONS ASIA PTE. LTD.
HO CHAI HWA,2023-10-01,R000402F,PUNGGOL,LHG PROPERTIES PTE. LTD.
SARAVANNAN S/O SANTH KUMARAN,2023-10-01,R000215D,ANG MO KIO,OHMYHOME PTE. LTD.
FONG YONG TEN,2023-10-01,R000709B,YISHUN,PROPNEX REALTY PTE. LTD.
TAN EE CHUN,2023-10-01,R000201I,GEYLANG,ERA REALTY NETWORK PTE LTD
ONG SOCK LAN,2023-10-01,P003035C,SENGKANG,ORANGETEE & TIE PTE. LTD.
NG AI HUA,2023-10-01,P014059J,PUNGGOL,ACRES REALTY
MOHAMED SYARIF BIN MOHAMED RUSLAN HADI,2023-10-01,R000212B,WOODLANDS,PROPNEX REALTY PTE. LTD.
TAN ZHENG CHUAN,2023-10-01,R000871D,WOODLANDS,PROPNEX REALTY PTE. LTD.
KAREN SOH AI NEE,2023-10-01,R000184A,CHOA CHU KANG,PROPNEX REALTY PTE. LTD.
TAN KIM CHENG,2023-10-01,P009345B,QUEENSTOWN,ORANGETEE & TIE PTE. LTD.
"YEW RUI CHANG, BENSON",2023-10-01,R000901Z,BUKIT BATOK,PROPNEX REALTY PTE. LTD.
TEU CHOON KIAT,2023-10-01,R000305D,HOUGANG,ERA REALTY NETWORK PTE LTD
LEE HUI LANG,2023-10-01,R001324F,BUKIT BATOK,PROPNEX REALTY PTE. LTD.
FAYE PHOON KWAN FEI,2023-10-01,P001643A,CLEMENTI,CYPRESS MONTEREY PROPERTIES
"ONG XIU HUI, VENELYN",2023-10-01,R000302A,YISHUN,PROPNEX REALTY PTE. LTD.
ONG GEOK LAN,2023-10-01,P001542G,ANG MO KIO,FOUR SEASONS REALTY
KOH TECK CHUAN,2023-10-01,R000636C,HOUGANG,PROPNEX REALTY PTE. LTD.
EILEEN NEO MUI SIM,2023-10-01,P003536C,QUEENSTOWN,LANDBANK PROPERTY PTE. LTD.
TAY CHEE WEI DOMINIC,2023-10-01,R000191J,BUKIT BATOK,PROPNEX REALTY PTE. LTD.
ONG GEOK LAN,2023-10-01,P001542G,BEDOK,FOUR SEASONS REALTY
"LAI SOK KENG, IRENE",2023-10-01,R000917F,PASIR RIS,PROPNEX REALTY PTE. LTD.
NG CHOW KUM,2023-10-01,R001084J,TAMPINES,LITE REALTY PTE LTD
LIM WEI CHING,2023-10-01,R000224C,SEMBAWANG,HUTTONS ASIA PTE. LTD.
CHEW KENG TUAN BENEDICT,2023-10-01,P002289Z,JURONG EAST,SG PROPERTY INTERNATIONAL
CHEW KENG TUAN BENEDICT,2023-10-01,P002289Z,GEYLANG,SG PROPERTY INTERNATIONAL
CHEW KIM HUWA,2023-10-01,P001892B,SENGKANG,TRANSLAND ASSOCIATES
SOH HUI HUA,2023-10-01,P000003I,CHOA CHU KANG,K J REALTY
FAKHRUL HAAZIQ BIN MOHD FIKRI,2023-10-01,R000300G,BUKIT BATOK,ERA REALTY NETWORK PTE LTD
HAN SENG JUAN,2023-10-01,P002701H,SENGKANG,IDO REALTY SERVICES
JERRY LEE KIAN KIONG,2023-10-01,R000224D,GEYLANG,ORANGETEE & TIE PTE. LTD.
HO FOH CHUN,2023-10-01,R000793I,CENTRAL AREA,THE REALTY NAVIGATOR PTE. LTD.
WAN WING HOON,2023-10-01,R000617G,QUEENSTOWN,LUXUS PROPERTY INVESTMENT PTE. LTD.
LEONG FOONG MENG,2023-10-01,R000660F,YISHUN,SRI PTE. LTD.
TAN KIM CHENG,2023-10-01,P009345B,PUNGGOL,ORANGETEE & TIE PTE. LTD.
HAYATI BINTE JANTAN,2023-10-01,P001193F,WOODLANDS,ISLANDGATE REAL ESTATE
NICHOLAS FENG JIAYONG,2023-10-01,R000273H,SENGKANG,PROPNEX REALTY PTE. LTD.
"LIM JINGYUAN, THOMAS",2023-10-01,R000860I,WOODLANDS,PROPNEX REALTY PTE. LTD.
WONG WEI JIE WYMAN,2023-10-01,R000621E,BUKIT MERAH,PROPNEX REALTY PTE. LTD.
GIAN KIN SIONG,2023-10-01,R000799H,SERANGOON,HUTTONS ASIA PTE. LTD.
LIM KIM SOON,2023-10-01,R000754H,HOUGANG,ERA REALTY NETWORK PTE LTD
KIMBERLY NG WAN MEI,2023-10-01,R000213Z,BEDOK,PROPNEX REALTY PTE. LTD.
GOH QIU JIN,2023-10-01,R000184F,HOUGANG,PROPNEX REALTY PTE. LTD.
"THONG GHIM ANN, NICHOLAS",2023-10-01,R000199I,MARINE PARADE,ERA REALTY NETWORK PTE LTD
LIEW GUO FU,2023-10-01,R000276Z,YISHUN,PROPNEX REALTY PTE. LTD.
LEONG FOONG MENG,2023-10-01,R000660F,JURONG WEST,SRI PTE. LTD.
MOHAMED SYARIF BIN MOHAMED RUSLAN HADI,2023-10-01,R000212B,WOODLANDS,PROPNEX REALTY PTE. LTD.
SIM WEE MING,2023-10-01,P000874I,ANG MO KIO,SAVE REALTY & PARTNERS
ADA LEE YOKE SIM,2023-10-01,R001223A,BUKIT MERAH,PROPNEX REALTY PTE. LTD.
TAN ZHENG CHUAN,2023-10-01,R000871D,PUNGGOL,PROPNEX REALTY PTE. LTD.
TAN LEONG TECK,2023-10-01,R000340B,BUKIT BATOK,PROPNEX REALTY PTE. LTD.
TAN ZHENG CHUAN,2023-10-01,R000871D,WOODLANDS,PROPNEX REALTY PTE. LTD.
NORSHEELAH BINTE MOHAMED AHMED,2023-10-01,R000255D,CHOA CHU KANG,SRI PTE. LTD.
AINON BINTE ABDUL AZIZ TALIB,2023-10-01,R000174Z,BUKIT PANJANG,ERA REALTY NETWORK PTE LTD
"HO KHIM WENG, GIBSON",2023-10-01,R000240F,SENGKANG,ORANGETEE & TIE PTE. LTD.
GOH QIU JIN,2023-10-01,R000184F,SENGKANG,PROPNEX REALTY PTE. LTD.
"YEW RUI CHANG, BENSON",2023-10-01,R000901Z,SENGKANG,PROPNEX REALTY PTE. LTD.
MOHAMED SYARIF BIN MOHAMED RUSLAN HADI,2023-10-01,R000212B,YISHUN,PROPNEX REALTY PTE. LTD.
CHAN CHEE LIONG,2023-11-01,P008801G,YISHUN,TAG REALTY PTE. LTD.
TAY CAI CHANG,2023-11-01,R000567G,BISHAN,OHMYHOME PTE. LTD.
HO CHAI HWA,2023-11-01,R000402F,WOODLANDS,LHG PROPERTIES PTE. LTD.
SEE LYE KEONG,2023-11-01,R000923J,ANG MO KIO,SINGAPORE ESTATE AGENCY PTE. LTD.
ELISABETH YIONG ZIYUN,2023-11-01,R000257D,CLEMENTI,PROPNEX REALTY PTE. LTD.
TOCK HSIEN MING,2023-11-01,P028665Z,QUEENSTOWN,JLAND REALTY INVESTMENT LLP
TAY YUNG CHI,2023-11-01,R000220D,KALLANG/WHAMPOA,ERA REALTY NETWORK PTE LTD
